file,speaker,label
70.wav,Alan Watts,bona-fide
71.wav,Jimmy Carter,bona-fide
72.wav,Barack Obama,bona-fide
73.wav,Bill Clinton,bona-fide
74.wav,Christopher Hitchens,bona-fide
75.wav,Winston Churchill,bona-fide
76.wav,Bill Clinton,spoof
77.wav,Alec Guinness,bona-fide
78.wav,Dwight Eisenhower,bona-fide
79.wav,2Pac,spoof
80.wav,Donald Trump,bona-fide
81.wav,Bernie Sanders,spoof
82.wav,Alec Guinness,bona-fide
83.wav,Bill Clinton,bona-fide
84.wav,Bernie Sanders,bona-fide
85.wav,Bernie Sanders,bona-fide
86.wav,Alec Guinness,bona-fide
87.wav,Alec Guinness,bona-fide
88.wav,Ronald Reagan,bona-fide
89.wav,Barack Obama,bona-fide
90.wav,Donald Trump,bona-fide
91.wav,Bill Clinton,spoof
92.wav,Mitch Hedberg,spoof
93.wav,Ayn Rand,bona-fide
94.wav,Barack Obama,bona-fide
95.wav,Bill Clinton,bona-fide
96.wav,Alec Guinness,bona-fide
97.wav,Barack Obama,bona-fide
98.wav,Bernie Sanders,bona-fide
99.wav,Bill Burr,bona-fide
100.wav,Alexandria Ocasio-Cortez,bona-fide
101.wav,Christopher Hitchens,spoof
102.wav,Milton Friedman,bona-fide
103.wav,Bernie Sanders,spoof
104.wav,Bernie Sanders,bona-fide
105.wav,Christopher Hitchens,bona-fide
106.wav,FDR,bona-fide
107.wav,Alec Guinness,spoof
108.wav,Donald Trump,bona-fide
109.wav,Arnold Schwarzenegger,bona-fide
110.wav,Milton Friedman,spoof
111.wav,Barack Obama,bona-fide
112.wav,Barack Obama,bona-fide
113.wav,Donald Trump,bona-fide
114.wav,Ayn Rand,spoof
115.wav,Bill Clinton,bona-fide
116.wav,FDR,spoof
117.wav,Alan Watts,spoof
118.wav,Bernie Sanders,spoof
119.wav,Barack Obama,bona-fide
120.wav,Barack Obama,bona-fide
121.wav,Ayn Rand,bona-fide
122.wav,FDR,spoof
123.wav,Donald Trump,bona-fide
124.wav,Barack Obama,bona-fide
125.wav,Donald Trump,bona-fide
126.wav,Mitch Hedberg,spoof
127.wav,George W. Bush,spoof
128.wav,Alan Watts,spoof
129.wav,Milton Friedman,bona-fide
130.wav,Bernie Sanders,bona-fide
131.wav,Bill Clinton,bona-fide
132.wav,JFK,spoof
133.wav,Barack Obama,bona-fide
134.wav,Donald Trump,bona-fide
135.wav,Bernie Sanders,spoof
136.wav,Alec Guinness,spoof
137.wav,Bill Clinton,bona-fide
138.wav,Donald Trump,spoof
139.wav,Bernie Sanders,spoof
140.wav,Alec Guinness,bona-fide
141.wav,Mark Zuckerberg,bona-fide
142.wav,Mark Zuckerberg,bona-fide
143.wav,Ayn Rand,bona-fide
144.wav,Queen Elizabeth II,spoof
145.wav,Barack Obama,bona-fide
146.wav,The Notorious B.I.G.,spoof
147.wav,Alec Guinness,bona-fide
148.wav,Jerry Seinfeld,spoof
149.wav,Martin Luther King,bona-fide
150.wav,Queen Elizabeth II,spoof
151.wav,Martin Luther King,bona-fide
152.wav,Christopher Hitchens,bona-fide
153.wav,2Pac,spoof
154.wav,Winston Churchill,bona-fide
155.wav,Alec Guinness,spoof
156.wav,Martin Luther King,bona-fide
157.wav,Bill Clinton,bona-fide
158.wav,Donald Trump,bona-fide
159.wav,Bernie Sanders,spoof
160.wav,Martin Luther King,bona-fide
161.wav,Donald Trump,bona-fide
162.wav,Donald Trump,bona-fide
163.wav,Alec Guinness,spoof
164.wav,Barack Obama,bona-fide
165.wav,George W. Bush,spoof
166.wav,Alec Guinness,bona-fide
167.wav,Ayn Rand,bona-fide
168.wav,Alec Guinness,bona-fide
169.wav,Ayn Rand,bona-fide
170.wav,Tucker Carlson,spoof
171.wav,Donald Trump,bona-fide
172.wav,Ayn Rand,spoof
173.wav,Christopher Hitchens,bona-fide
174.wav,Alec Guinness,spoof
175.wav,Nelson Mandela,spoof
176.wav,Barack Obama,bona-fide
177.wav,JFK,bona-fide
178.wav,Ronald Reagan,bona-fide
179.wav,Ayn Rand,spoof
180.wav,Donald Trump,bona-fide
181.wav,Christopher Hitchens,bona-fide
182.wav,Ayn Rand,spoof
183.wav,Bernie Sanders,bona-fide
184.wav,Barack Obama,spoof
185.wav,Winston Churchill,bona-fide
186.wav,Alec Guinness,spoof
187.wav,Bernie Sanders,bona-fide
188.wav,Milton Friedman,spoof
189.wav,Bernie Sanders,bona-fide
190.wav,Barack Obama,spoof
191.wav,Mark Zuckerberg,spoof
192.wav,Winston Churchill,bona-fide
193.wav,The Notorious B.I.G.,spoof
194.wav,Bernie Sanders,bona-fide
195.wav,Barack Obama,bona-fide
196.wav,Bernie Sanders,bona-fide
197.wav,Barack Obama,bona-fide
198.wav,Bernie Sanders,bona-fide
199.wav,Barack Obama,bona-fide
200.wav,Donald Trump,bona-fide
201.wav,Donald Trump,bona-fide
202.wav,Ayn Rand,bona-fide
203.wav,Barack Obama,bona-fide
204.wav,Donald Trump,bona-fide
205.wav,Donald Trump,bona-fide
206.wav,Ayn Rand,bona-fide
207.wav,Jerry Seinfeld,spoof
208.wav,Bernie Sanders,bona-fide
209.wav,Nelson Mandela,spoof
210.wav,Alec Guinness,bona-fide
211.wav,Ronald Reagan,spoof
212.wav,Ronald Reagan,bona-fide
213.wav,FDR,bona-fide
214.wav,George W. Bush,spoof
215.wav,Alec Guinness,spoof
216.wav,Mark Zuckerberg,bona-fide
217.wav,Richard Nixon,bona-fide
218.wav,Donald Trump,bona-fide
219.wav,Donald Trump,bona-fide
220.wav,Ronald Reagan,bona-fide
221.wav,Richard Nixon,bona-fide
222.wav,Donald Trump,bona-fide
223.wav,Barack Obama,bona-fide
224.wav,John Cleese,spoof
225.wav,Bill Clinton,spoof
226.wav,Nelson Mandela,spoof
227.wav,Barack Obama,bona-fide
228.wav,Alec Guinness,bona-fide
229.wav,The Notorious B.I.G.,spoof
230.wav,Christopher Hitchens,bona-fide
231.wav,Frank Sinatra,spoof
232.wav,Alexandria Ocasio-Cortez,bona-fide
233.wav,Louis Farrakhan,bona-fide
234.wav,Winston Churchill,bona-fide
235.wav,Christopher Hitchens,bona-fide
236.wav,Alec Guinness,spoof
237.wav,Christopher Hitchens,bona-fide
238.wav,Bill Clinton,bona-fide
239.wav,Louis Farrakhan,bona-fide
240.wav,JFK,bona-fide
241.wav,Ronald Reagan,bona-fide
242.wav,Ayn Rand,bona-fide
243.wav,Donald Trump,bona-fide
244.wav,Barack Obama,bona-fide
245.wav,Ronald Reagan,bona-fide
246.wav,Martin Luther King,spoof
247.wav,Norm MacDonald,bona-fide
248.wav,Christopher Hitchens,bona-fide
249.wav,Alec Guinness,bona-fide
250.wav,Donald Trump,bona-fide
251.wav,Barack Obama,spoof
252.wav,Queen Elizabeth II,bona-fide
253.wav,Alexandria Ocasio-Cortez,spoof
254.wav,Bernie Sanders,bona-fide
255.wav,Alec Guinness,bona-fide
256.wav,Winston Churchill,bona-fide
257.wav,Richard Nixon,spoof
258.wav,Barack Obama,bona-fide
259.wav,Bernie Sanders,bona-fide
260.wav,Donald Trump,bona-fide
261.wav,Alec Guinness,spoof
262.wav,Arnold Schwarzenegger,bona-fide
263.wav,Ayn Rand,bona-fide
264.wav,Gilbert Gottfried,bona-fide
265.wav,Alec Guinness,spoof
266.wav,Bernie Sanders,bona-fide
267.wav,Alec Guinness,spoof
268.wav,Donald Trump,bona-fide
269.wav,Ayn Rand,spoof
270.wav,Queen Elizabeth II,spoof
271.wav,Ronald Reagan,spoof
272.wav,Barack Obama,bona-fide
273.wav,Mark Zuckerberg,spoof
274.wav,Bill Burr,bona-fide
275.wav,Alec Guinness,spoof
276.wav,Barack Obama,bona-fide
277.wav,Ayn Rand,spoof
278.wav,Bill Clinton,spoof
279.wav,Donald Trump,bona-fide
280.wav,Bernie Sanders,bona-fide
281.wav,Barack Obama,bona-fide
282.wav,Ayn Rand,spoof
283.wav,John Cleese,spoof
284.wav,Ayn Rand,bona-fide
285.wav,Winston Churchill,spoof
286.wav,George Carlin,bona-fide
287.wav,Bill Clinton,spoof
288.wav,Barack Obama,bona-fide
289.wav,Ayn Rand,bona-fide
290.wav,Donald Trump,bona-fide
291.wav,Winston Churchill,bona-fide
292.wav,Bernie Sanders,spoof
293.wav,Bernie Sanders,spoof
294.wav,Bernie Sanders,spoof
295.wav,Dwight Eisenhower,spoof
296.wav,Alec Guinness,spoof
297.wav,Malcolm X,spoof
298.wav,Ayn Rand,bona-fide
299.wav,Donald Trump,bona-fide
300.wav,Bill Clinton,bona-fide
301.wav,Barack Obama,bona-fide
302.wav,Alec Guinness,spoof
303.wav,Louis Farrakhan,spoof
304.wav,Barack Obama,bona-fide
305.wav,Martin Luther King,bona-fide
306.wav,George Carlin,bona-fide
307.wav,Ronald Reagan,spoof
308.wav,Ronald Reagan,bona-fide
309.wav,Bernie Sanders,bona-fide
310.wav,JFK,spoof
311.wav,Barack Obama,bona-fide
312.wav,Christopher Hitchens,spoof
313.wav,Nelson Mandela,bona-fide
314.wav,Christopher Hitchens,bona-fide
315.wav,Barack Obama,bona-fide
316.wav,Bernie Sanders,bona-fide
317.wav,Arnold Schwarzenegger,spoof
318.wav,Gilbert Gottfried,spoof
319.wav,Ronald Reagan,spoof
320.wav,FDR,bona-fide
321.wav,Christopher Hitchens,bona-fide
322.wav,Barack Obama,bona-fide
323.wav,Louis Farrakhan,bona-fide
324.wav,Barack Obama,spoof
325.wav,Barack Obama,bona-fide
326.wav,Robert Kardashian,bona-fide
327.wav,Barack Obama,bona-fide
328.wav,Ronald Reagan,bona-fide
329.wav,John Cleese,bona-fide
330.wav,Bernie Sanders,bona-fide
331.wav,Barack Obama,bona-fide
332.wav,Malcolm X,bona-fide
333.wav,FDR,bona-fide
334.wav,Barack Obama,bona-fide
335.wav,Bill Burr,bona-fide
336.wav,Robert Kardashian,bona-fide
337.wav,Bernie Sanders,bona-fide
338.wav,Ronald Reagan,spoof
339.wav,Ronald Reagan,spoof
340.wav,Ronald Reagan,bona-fide
341.wav,Bill Clinton,spoof
342.wav,Frank Sinatra,spoof
343.wav,Alec Guinness,bona-fide
344.wav,Kamala Harris,spoof
345.wav,Mark Zuckerberg,bona-fide
346.wav,Richard Nixon,spoof
347.wav,George W. Bush,spoof
348.wav,Donald Trump,bona-fide
349.wav,Alec Guinness,spoof
350.wav,Winston Churchill,bona-fide
351.wav,Bill Clinton,spoof
352.wav,Barack Obama,bona-fide
353.wav,Orson Welles,spoof
354.wav,Martin Luther King,spoof
355.wav,Bill Clinton,bona-fide
356.wav,Ronald Reagan,bona-fide
357.wav,Ronald Reagan,spoof
358.wav,Ayn Rand,bona-fide
359.wav,Louis Farrakhan,bona-fide
360.wav,Barack Obama,bona-fide
361.wav,Bill Clinton,spoof
362.wav,Bill Clinton,bona-fide
363.wav,Barack Obama,bona-fide
364.wav,Alexandria Ocasio-Cortez,bona-fide
365.wav,Barack Obama,bona-fide
366.wav,Bill Clinton,bona-fide
367.wav,Winston Churchill,bona-fide
368.wav,Arnold Schwarzenegger,spoof
369.wav,Barack Obama,bona-fide
370.wav,Christopher Hitchens,bona-fide
371.wav,Louis Farrakhan,bona-fide
372.wav,Alec Guinness,spoof
373.wav,Ayn Rand,bona-fide
374.wav,Christopher Hitchens,spoof
375.wav,Alec Guinness,spoof
376.wav,Alec Guinness,bona-fide
377.wav,Barack Obama,bona-fide
378.wav,Ayn Rand,bona-fide
379.wav,Christopher Hitchens,bona-fide
380.wav,Alec Guinness,spoof
381.wav,Barack Obama,bona-fide
382.wav,Arnold Schwarzenegger,bona-fide
383.wav,Ronald Reagan,bona-fide
384.wav,Donald Trump,bona-fide
385.wav,Louis Farrakhan,bona-fide
386.wav,Christopher Hitchens,bona-fide
387.wav,Alec Guinness,bona-fide
388.wav,Barack Obama,bona-fide
389.wav,Richard Nixon,bona-fide
390.wav,Louis Farrakhan,spoof
391.wav,Ronald Reagan,spoof
392.wav,Donald Trump,spoof
393.wav,Alec Guinness,spoof
394.wav,Barack Obama,bona-fide
395.wav,Martin Luther King,spoof
396.wav,Milton Friedman,bona-fide
397.wav,Mark Zuckerberg,spoof
398.wav,Bernie Sanders,spoof
399.wav,Alec Guinness,spoof
400.wav,Donald Trump,bona-fide
401.wav,Winston Churchill,bona-fide
402.wav,Alan Watts,spoof
403.wav,FDR,spoof
404.wav,Barack Obama,bona-fide
405.wav,Christopher Hitchens,bona-fide
406.wav,Donald Trump,bona-fide
407.wav,Donald Trump,bona-fide
408.wav,2Pac,spoof
409.wav,Bernie Sanders,bona-fide
410.wav,Boris Johnson,bona-fide
411.wav,Donald Trump,bona-fide
412.wav,JFK,bona-fide
413.wav,Donald Trump,bona-fide
414.wav,Dwight Eisenhower,bona-fide
415.wav,Christopher Hitchens,bona-fide
416.wav,Nelson Mandela,spoof
417.wav,Robert Kardashian,bona-fide
418.wav,Nick Offerman,bona-fide
419.wav,Barack Obama,bona-fide
420.wav,Barack Obama,bona-fide
421.wav,Bernie Sanders,spoof
422.wav,Bernie Sanders,spoof
423.wav,Louis Farrakhan,bona-fide
424.wav,Bernie Sanders,bona-fide
425.wav,George Carlin,bona-fide
426.wav,Dwight Eisenhower,bona-fide
427.wav,Mark Zuckerberg,spoof
428.wav,Barack Obama,bona-fide
429.wav,Bernie Sanders,bona-fide
430.wav,Alec Guinness,bona-fide
431.wav,Donald Trump,bona-fide
432.wav,Alan Watts,spoof
433.wav,Bob Ross,spoof
434.wav,Donald Trump,bona-fide
435.wav,JFK,bona-fide
436.wav,Mark Zuckerberg,bona-fide
437.wav,Boris Johnson,spoof
438.wav,Donald Trump,bona-fide
439.wav,Tucker Carlson,bona-fide
440.wav,Donald Trump,spoof
441.wav,Bernie Sanders,spoof
442.wav,Gilbert Gottfried,bona-fide
443.wav,Arnold Schwarzenegger,spoof
444.wav,Nelson Mandela,spoof
445.wav,Mark Zuckerberg,spoof
446.wav,Bernie Sanders,bona-fide
447.wav,Bernie Sanders,bona-fide
448.wav,Barack Obama,bona-fide
449.wav,Ayn Rand,bona-fide
450.wav,Ayn Rand,bona-fide
451.wav,Winston Churchill,spoof
452.wav,Bernie Sanders,bona-fide
453.wav,Donald Trump,bona-fide
454.wav,Ronald Reagan,spoof
455.wav,Robert Kardashian,bona-fide
456.wav,Donald Trump,bona-fide
457.wav,Ronald Reagan,spoof
458.wav,Christopher Hitchens,bona-fide
459.wav,Bernie Sanders,bona-fide
460.wav,Martin Luther King,spoof
461.wav,Alec Guinness,bona-fide
462.wav,Ayn Rand,bona-fide
463.wav,Ronald Reagan,spoof
464.wav,Bernie Sanders,spoof
465.wav,Barack Obama,bona-fide
466.wav,Alec Guinness,spoof
467.wav,Donald Trump,bona-fide
468.wav,Donald Trump,bona-fide
469.wav,Barack Obama,bona-fide
470.wav,Barack Obama,bona-fide
471.wav,Milton Friedman,bona-fide
472.wav,Alec Guinness,bona-fide
473.wav,Barack Obama,bona-fide
474.wav,Donald Trump,spoof
475.wav,Christopher Hitchens,bona-fide
476.wav,Donald Trump,bona-fide
477.wav,Alec Guinness,bona-fide
478.wav,Donald Trump,bona-fide
479.wav,Bernie Sanders,bona-fide
480.wav,Donald Trump,bona-fide
481.wav,Alec Guinness,spoof
482.wav,Donald Trump,bona-fide
483.wav,Barack Obama,bona-fide
484.wav,Alec Guinness,spoof
485.wav,Bill Clinton,bona-fide
486.wav,Ayn Rand,bona-fide
487.wav,Alec Guinness,bona-fide
488.wav,Alec Guinness,spoof
489.wav,Gilbert Gottfried,spoof
490.wav,Gilbert Gottfried,spoof
491.wav,Norm MacDonald,spoof
492.wav,Ronald Reagan,spoof
493.wav,Milton Friedman,spoof
494.wav,Richard Nixon,spoof
495.wav,Bernie Sanders,spoof
496.wav,FDR,bona-fide
497.wav,Alec Guinness,bona-fide
498.wav,Bernie Sanders,bona-fide
499.wav,Donald Trump,bona-fide
500.wav,Christopher Hitchens,bona-fide
501.wav,Christopher Hitchens,bona-fide
502.wav,Alec Guinness,spoof
503.wav,Bernie Sanders,bona-fide
504.wav,Christopher Hitchens,bona-fide
505.wav,Milton Friedman,spoof
506.wav,Bernie Sanders,bona-fide
507.wav,Arnold Schwarzenegger,bona-fide
508.wav,Barack Obama,bona-fide
509.wav,Gilbert Gottfried,spoof
510.wav,Alan Watts,bona-fide
511.wav,Bill Burr,bona-fide
512.wav,Louis C.K.,spoof
513.wav,FDR,bona-fide
514.wav,Richard Nixon,spoof
515.wav,Bill Clinton,spoof
516.wav,JFK,bona-fide
517.wav,Donald Trump,bona-fide
518.wav,Milton Friedman,bona-fide
519.wav,Alec Guinness,spoof
520.wav,Barack Obama,bona-fide
521.wav,Barack Obama,bona-fide
522.wav,Alec Guinness,bona-fide
523.wav,Louis Farrakhan,bona-fide
524.wav,Barack Obama,bona-fide
525.wav,Mark Zuckerberg,spoof
526.wav,The Notorious B.I.G.,spoof
527.wav,FDR,spoof
528.wav,Alan Watts,spoof
529.wav,Alec Guinness,bona-fide
530.wav,Barack Obama,bona-fide
531.wav,Ronald Reagan,spoof
532.wav,John Cleese,bona-fide
533.wav,Donald Trump,bona-fide
534.wav,Barack Obama,bona-fide
535.wav,The Notorious B.I.G.,spoof
536.wav,Winston Churchill,spoof
537.wav,JFK,spoof
538.wav,The Notorious B.I.G.,spoof
539.wav,Bernie Sanders,bona-fide
540.wav,Ayn Rand,spoof
541.wav,Ayn Rand,spoof
542.wav,Louis Farrakhan,spoof
543.wav,Winston Churchill,bona-fide
544.wav,Alec Guinness,spoof
545.wav,Milton Friedman,spoof
546.wav,Bernie Sanders,spoof
547.wav,FDR,spoof
548.wav,Bernie Sanders,bona-fide
549.wav,JFK,spoof
550.wav,Mark Zuckerberg,spoof
551.wav,Donald Trump,bona-fide
552.wav,Alexandria Ocasio-Cortez,bona-fide
553.wav,Donald Trump,bona-fide
554.wav,Winston Churchill,bona-fide
555.wav,Donald Trump,bona-fide
556.wav,Donald Trump,bona-fide
557.wav,Barack Obama,spoof
558.wav,Alec Guinness,bona-fide
559.wav,Ayn Rand,bona-fide
560.wav,Malcolm X,spoof
561.wav,Alec Guinness,spoof
562.wav,Alec Guinness,spoof
563.wav,Bill Clinton,bona-fide
564.wav,Mark Zuckerberg,bona-fide
565.wav,Queen Elizabeth II,spoof
566.wav,Alec Guinness,spoof
567.wav,Richard Nixon,spoof
568.wav,Adam Driver,bona-fide
569.wav,Bernie Sanders,spoof
570.wav,The Notorious B.I.G.,spoof
571.wav,Christopher Hitchens,spoof
572.wav,The Notorious B.I.G.,spoof
573.wav,Christopher Hitchens,spoof
574.wav,Alec Guinness,spoof
575.wav,2Pac,bona-fide
576.wav,Bernie Sanders,bona-fide
577.wav,Christopher Hitchens,spoof
578.wav,Ayn Rand,spoof
579.wav,Alec Guinness,spoof
580.wav,Alec Guinness,bona-fide
581.wav,JFK,bona-fide
582.wav,Donald Trump,bona-fide
583.wav,Christopher Hitchens,bona-fide
584.wav,Christopher Hitchens,bona-fide
585.wav,Christopher Hitchens,bona-fide
586.wav,Robert Kardashian,spoof
587.wav,Barack Obama,bona-fide
588.wav,Christopher Hitchens,bona-fide
589.wav,Barack Obama,bona-fide
590.wav,Alexandria Ocasio-Cortez,bona-fide
591.wav,Bernie Sanders,bona-fide
592.wav,Bernie Sanders,spoof
593.wav,Christopher Hitchens,spoof
594.wav,Bernie Sanders,spoof
595.wav,Winston Churchill,bona-fide
596.wav,Donald Trump,bona-fide
597.wav,Christopher Hitchens,spoof
598.wav,Winston Churchill,bona-fide
599.wav,Barack Obama,bona-fide
600.wav,Martin Luther King,bona-fide
601.wav,Bernie Sanders,bona-fide
602.wav,Donald Trump,bona-fide
603.wav,Mark Zuckerberg,bona-fide
604.wav,Bill Clinton,bona-fide
605.wav,Donald Trump,spoof
606.wav,Alec Guinness,bona-fide
607.wav,Donald Trump,bona-fide
608.wav,Lyndon Johnson,bona-fide
609.wav,Martin Luther King,spoof
610.wav,Bernie Sanders,bona-fide
611.wav,Bernie Sanders,bona-fide
612.wav,Ronald Reagan,bona-fide
613.wav,Bernie Sanders,bona-fide
614.wav,Alec Guinness,spoof
615.wav,Ayn Rand,bona-fide
616.wav,Mark Zuckerberg,spoof
617.wav,Ronald Reagan,bona-fide
618.wav,Martin Luther King,bona-fide
619.wav,Arnold Schwarzenegger,bona-fide
620.wav,Alec Guinness,bona-fide
621.wav,Mark Zuckerberg,spoof
622.wav,Barack Obama,bona-fide
623.wav,Bill Clinton,bona-fide
624.wav,Mark Zuckerberg,bona-fide
625.wav,Ronald Reagan,spoof
626.wav,Barack Obama,bona-fide
627.wav,Mark Zuckerberg,spoof
628.wav,Bill Clinton,bona-fide
629.wav,George Carlin,bona-fide
630.wav,Martin Luther King,bona-fide
631.wav,Alec Guinness,spoof
632.wav,Winston Churchill,bona-fide
633.wav,Ayn Rand,spoof
634.wav,Bernie Sanders,spoof
635.wav,Barack Obama,spoof
636.wav,Donald Trump,spoof
637.wav,Queen Elizabeth II,spoof
638.wav,Donald Trump,bona-fide
639.wav,Martin Luther King,spoof
640.wav,Barack Obama,bona-fide
641.wav,Martin Luther King,spoof
642.wav,Alec Guinness,bona-fide
643.wav,Donald Trump,bona-fide
644.wav,Bernie Sanders,bona-fide
645.wav,Donald Trump,bona-fide
646.wav,Bill Burr,bona-fide
647.wav,Ronald Reagan,spoof
648.wav,Milton Friedman,bona-fide
649.wav,Donald Trump,bona-fide
650.wav,Nick Offerman,bona-fide
651.wav,Bernie Sanders,spoof
652.wav,Bill Clinton,bona-fide
653.wav,George Carlin,bona-fide
654.wav,Alec Guinness,bona-fide
655.wav,Alan Watts,spoof
656.wav,Richard Nixon,bona-fide
657.wav,Bill Clinton,spoof
658.wav,Donald Trump,bona-fide
659.wav,Christopher Hitchens,spoof
660.wav,Bill Clinton,spoof
661.wav,Christopher Hitchens,spoof
662.wav,Bill Clinton,bona-fide
663.wav,Donald Trump,spoof
664.wav,Ayn Rand,spoof
665.wav,Christopher Hitchens,bona-fide
666.wav,Barack Obama,bona-fide
667.wav,Donald Trump,bona-fide
668.wav,Barack Obama,bona-fide
669.wav,Barack Obama,bona-fide
670.wav,Christopher Hitchens,bona-fide
671.wav,Robert Kardashian,bona-fide
672.wav,Barack Obama,bona-fide
673.wav,Barack Obama,bona-fide
674.wav,Alec Guinness,bona-fide
675.wav,Alec Guinness,bona-fide
676.wav,Barack Obama,bona-fide
677.wav,Richard Nixon,spoof
678.wav,Mark Zuckerberg,bona-fide
679.wav,Barack Obama,bona-fide
680.wav,Bill Clinton,spoof
681.wav,Bill Clinton,spoof
682.wav,George W. Bush,spoof
683.wav,Bill Clinton,bona-fide
684.wav,Alexandria Ocasio-Cortez,bona-fide
685.wav,Bernie Sanders,spoof
686.wav,Arnold Schwarzenegger,bona-fide
687.wav,2Pac,spoof
688.wav,Norm MacDonald,spoof
689.wav,Dwight Eisenhower,bona-fide
690.wav,Alec Guinness,spoof
691.wav,Louis Farrakhan,bona-fide
692.wav,Louis Farrakhan,spoof
693.wav,Bernie Sanders,bona-fide
694.wav,Donald Trump,bona-fide
695.wav,FDR,spoof
696.wav,Ronald Reagan,spoof
697.wav,Donald Trump,bona-fide
698.wav,Barack Obama,bona-fide
699.wav,Barack Obama,bona-fide
700.wav,Mr. Rogers,bona-fide
701.wav,Barack Obama,bona-fide
702.wav,Bernie Sanders,bona-fide
703.wav,Bill Burr,spoof
704.wav,Alec Guinness,spoof
705.wav,Louis Farrakhan,bona-fide
706.wav,Mark Zuckerberg,bona-fide
707.wav,Alec Guinness,bona-fide
708.wav,Ayn Rand,spoof
709.wav,Ayn Rand,spoof
710.wav,Bernie Sanders,bona-fide
711.wav,Barack Obama,bona-fide
712.wav,George W. Bush,spoof
713.wav,JFK,bona-fide
714.wav,Donald Trump,bona-fide
715.wav,Bernie Sanders,spoof
716.wav,Alec Guinness,bona-fide
717.wav,Mark Zuckerberg,spoof
718.wav,Bernie Sanders,spoof
719.wav,Barack Obama,bona-fide
720.wav,Mark Zuckerberg,spoof
721.wav,Barack Obama,bona-fide
722.wav,Ronald Reagan,spoof
723.wav,Arnold Schwarzenegger,bona-fide
724.wav,Ayn Rand,bona-fide
725.wav,Boris Johnson,bona-fide
726.wav,Ayn Rand,bona-fide
727.wav,JFK,bona-fide
728.wav,Jerry Seinfeld,spoof
729.wav,Billie Eilish,bona-fide
730.wav,JFK,bona-fide
731.wav,Alec Guinness,bona-fide
732.wav,Mark Zuckerberg,spoof
733.wav,Barack Obama,bona-fide
734.wav,Barack Obama,bona-fide
735.wav,Ayn Rand,bona-fide
736.wav,Bernie Sanders,bona-fide
737.wav,Bill Clinton,spoof
738.wav,Louis Farrakhan,bona-fide
739.wav,Winston Churchill,bona-fide
740.wav,Donald Trump,bona-fide
741.wav,Alec Guinness,bona-fide
742.wav,Robert Kardashian,bona-fide
743.wav,George Carlin,spoof
744.wav,Martin Luther King,bona-fide
745.wav,Bernie Sanders,bona-fide
746.wav,Barack Obama,bona-fide
747.wav,Donald Trump,bona-fide
748.wav,Ayn Rand,bona-fide
749.wav,Bernie Sanders,spoof
750.wav,Louis Farrakhan,bona-fide
751.wav,Ayn Rand,bona-fide
752.wav,Martin Luther King,bona-fide
753.wav,Queen Elizabeth II,spoof
